#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-04-16 04:32:35 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
# 80155		Suspended sediment discharge, tons per day		5	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	11458000	00060	2	1999	3	517.6
USGS	11458000	00060	2	1999	4	354.1
USGS	11458000	00060	2	1999	5	72.2
USGS	11458000	00060	2	1999	6	26.3
USGS	11458000	00060	2	1999	7	5.78
USGS	11458000	00060	2	1999	8	2.73
USGS	11458000	00060	2	1999	9	0.831
USGS	11458000	00060	2	1999	10	1.23
USGS	11458000	00060	2	1999	11	6.68
USGS	11458000	00060	2	1999	12	7.77
USGS	11458000	00060	2	2000	1	104.1
USGS	11458000	00060	2	2000	2	1034
USGS	11458000	00060	2	2000	3	592.9
USGS	11458000	00060	2	2000	4	85.1
USGS	11458000	00060	2	2000	5	40.1
USGS	11458000	00060	2	2000	6	11.0
USGS	11458000	00060	2	2000	7	2.64
USGS	11458000	00060	2	2000	8	0.324
USGS	11458000	00060	2	2000	9	0.057
USGS	11458000	00060	2	2000	10	2.30
USGS	11458000	00060	2	2000	11	4.60
USGS	11458000	00060	2	2000	12	6.94
USGS	11458000	00060	2	2001	1	71.5
USGS	11458000	00060	2	2001	2	442.4
USGS	11458000	00060	2	2001	3	305.3
USGS	11458000	00060	2	2001	4	38.9
USGS	11458000	00060	2	2001	5	18.4
USGS	11458000	00060	2	2001	6	4.29
USGS	11458000	00060	2	2001	7	0.719
USGS	11458000	00060	2	2001	8	0.040
USGS	11458000	00060	2	2001	9	0.000
USGS	11458000	00060	2	2001	10	0.000
USGS	11458000	00060	2	2001	11	65.6
USGS	11458000	00060	2	2001	12	964.0
USGS	11458000	00060	2	2002	1	814.7
USGS	11458000	00060	2	2002	2	159.2
USGS	11458000	00060	2	2002	3	212.0
USGS	11458000	00060	2	2002	4	65.1
USGS	11458000	00060	2	2002	5	26.6
USGS	11458000	00060	2	2002	6	9.40
USGS	11458000	00060	2	2002	7	1.76
USGS	11458000	00060	2	2002	8	0.000
USGS	11458000	00060	2	2002	9	0.000
USGS	11458000	00060	2	2002	10	0.000
USGS	11458000	00060	2	2002	11	4.71
USGS	11458000	00060	2	2002	12	1613
USGS	11458000	00060	2	2003	1	659.6
USGS	11458000	00060	2	2003	2	292.7
USGS	11458000	00060	2	2003	3	252.1
USGS	11458000	00060	2	2003	4	249.7
USGS	11458000	00060	2	2003	5	278.8
USGS	11458000	00060	2	2003	6	33.5
USGS	11458000	00060	2	2003	7	7.45
USGS	11458000	00060	2	2003	8	1.77
USGS	11458000	00060	2	2003	9	0.133
USGS	11458000	00060	2	2003	10	0.000
USGS	11458000	00060	2	2003	11	3.62
USGS	11458000	00060	2	2003	12	576.7
USGS	11458000	00060	2	2004	1	474.8
USGS	11458000	00060	2	2004	2	1401
USGS	11458000	00060	2	2004	3	260.3
USGS	11458000	00060	2	2004	4	52.2
USGS	11458000	00060	2	2004	5	24.5
USGS	11458000	00060	2	2004	6	8.91
USGS	11458000	00060	2	2004	7	2.28
USGS	11458000	00060	2	2004	8	0.243
USGS	11458000	00060	2	2004	9	0.034
USGS	11458000	00060	2	2004	10	3.66
USGS	11458000	00060	2	2004	11	8.49
USGS	11458000	00060	2	2004	12	519.8
USGS	11458000	00060	2	2005	1	721.3
USGS	11458000	00060	2	2005	2	398.6
USGS	11458000	00060	2	2005	3	697.4
USGS	11458000	00060	2	2005	4	278.4
USGS	11458000	00060	2	2005	5	265.8
USGS	11458000	00060	2	2005	6	62.5
USGS	11458000	00060	2	2005	7	16.2
USGS	11458000	00060	2	2005	8	4.18
USGS	11458000	00060	2	2005	9	1.14
USGS	11458000	00060	2	2005	10	0.019
USGS	11458000	00060	2	2005	11	3.17
USGS	11458000	00060	2	2005	12	1407
USGS	11458000	00060	2	2006	1	1272
USGS	11458000	00060	2	2006	2	544.9
USGS	11458000	00060	2	2006	3	1394
USGS	11458000	00060	2	2006	4	1205
USGS	11458000	00060	2	2006	5	118.6
USGS	11458000	00060	2	2006	6	36.1
USGS	11458000	00060	2	2006	7	11.5
USGS	11458000	00060	2	2006	8	2.80
USGS	11458000	00060	2	2006	9	0.629
USGS	11458000	00060	2	2006	10	0.434
USGS	11458000	00060	2	2006	11	4.14
USGS	11458000	00060	2	2006	12	61.0
USGS	11458000	00060	2	2007	1	27.4
USGS	11458000	00060	2	2007	2	311.2
USGS	11458000	00060	2	2007	3	101.7
USGS	11458000	00060	2	2007	4	29.7
USGS	11458000	00060	2	2007	5	18.7
USGS	11458000	00060	2	2007	6	10.1
USGS	11458000	00060	2	2007	7	1.49
USGS	11458000	00060	2	2007	8	0.186
USGS	11458000	00060	2	2007	9	0.022
USGS	11458000	00060	2	2007	10	0.014
USGS	11458000	00060	2	2007	11	0.012
USGS	11458000	00060	2	2007	12	19.0
USGS	11458000	00060	2	2008	1	673.5
USGS	11458000	00060	2	2008	2	519.3
USGS	11458000	00060	2	2008	3	104.0
USGS	11458000	00060	2	2008	4	31.1
USGS	11458000	00060	2	2008	5	16.2
USGS	11458000	00060	2	2008	6	4.62
USGS	11458000	00060	2	2008	7	0.722
USGS	11458000	00060	2	2008	8	0.054
USGS	11458000	00060	2	2008	9	0.004
USGS	11458000	00060	2	2008	10	0.000
USGS	11458000	00060	2	2008	11	0.819
USGS	11458000	00060	2	2008	12	10.7
USGS	11458000	00060	2	2009	1	5.55
USGS	11458000	00060	2	2009	2	617.8
USGS	11458000	00060	2	2009	3	341.7
USGS	11458000	00060	2	2009	4	38.4
USGS	11458000	00060	2	2009	5	42.1
USGS	11458000	00060	2	2009	6	10.6
USGS	11458000	00060	2	2009	7	1.75
USGS	11458000	00060	2	2009	8	0.120
USGS	11458000	00060	2	2009	9	0.000
USGS	11458000	00060	2	2009	10	3.50
USGS	11458000	00060	2	2009	11	0.755
USGS	11458000	00060	2	2009	12	10.0
USGS	11458000	00060	2	2010	1	678.2
USGS	11458000	00060	2	2010	2	431.8
USGS	11458000	00060	2	2010	3	419.5
USGS	11458000	00060	2	2010	4	451.3
USGS	11458000	00060	2	2010	5	86.2
USGS	11458000	00060	2	2010	6	30.7
USGS	11458000	00060	2	2010	7	9.65
USGS	11458000	00060	2	2010	8	3.33
USGS	11458000	00060	2	2010	9	0.261
USGS	11458000	00060	2	2010	10	12.3
USGS	11458000	00060	2	2010	11	21.6
USGS	11458000	00060	2	2010	12	538.2
USGS	11458000	00060	2	2011	1	278.4
USGS	11458000	00060	2	2011	2	641.7
USGS	11458000	00060	2	2011	3	1733
USGS	11458000	00060	2	2011	4	236.1
USGS	11458000	00060	2	2011	5	69.2
USGS	11458000	00060	2	2011	6	61.0
USGS	11458000	00060	2	2011	7	16.2
USGS	11458000	00060	2	2011	8	5.35
USGS	11458000	00060	2	2011	9	2.14
USGS	11458000	00060	2	2011	10	3.90
USGS	11458000	00060	2	2011	11	5.33
USGS	11458000	00060	2	2011	12	5.17
USGS	11458000	00060	2	2012	1	98.4
USGS	11458000	00060	2	2012	2	21.7
USGS	11458000	00060	2	2012	3	621.0
USGS	11458000	00060	2	2012	4	310.1
USGS	11458000	00060	2	2012	5	52.1
USGS	11458000	00060	2	2012	6	15.1
USGS	11458000	00060	2	2012	7	4.70
USGS	11458000	00060	2	2012	8	0.382
USGS	11458000	00060	2	2012	9	0.000
USGS	11458000	00060	2	2012	10	0.000
USGS	11458000	00060	2	2012	11	146.3
USGS	11458000	00060	2	2012	12	1358
USGS	11458000	00060	2	2013	1	248.3
USGS	11458000	00060	2	2013	2	61.3
USGS	11458000	00060	2	2013	3	37.7
USGS	11458000	00060	2	2013	4	27.3
USGS	11458000	00060	2	2013	5	10.2
USGS	11458000	00060	2	2013	6	4.44
USGS	11458000	00060	2	2013	7	0.234
USGS	11458000	00060	2	2013	8	0.000
USGS	11458000	00060	2	2013	9	0.000
USGS	11458000	80155	5	1976	10	0.003
USGS	11458000	80155	5	1976	11	0.002
USGS	11458000	80155	5	1976	12	0.001
USGS	11458000	80155	5	1977	1	0.099
USGS	11458000	80155	5	1977	2	0.006
USGS	11458000	80155	5	1977	3	0.113
USGS	11458000	80155	5	1977	4	0.003
USGS	11458000	80155	5	1977	5	0.000
USGS	11458000	80155	5	1977	6	0.000
USGS	11458000	80155	5	1977	7	0.000
USGS	11458000	80155	5	1977	8	0.000
USGS	11458000	80155	5	1977	9	0.000
USGS	11458000	80155	5	1977	10	0.000
USGS	11458000	80155	5	1977	11	344.1
USGS	11458000	80155	5	1977	12	365.5
USGS	11458000	80155	5	1978	1	4536
USGS	11458000	80155	5	1978	2	791.2
USGS	11458000	80155	5	1978	3	597.6
USGS	11458000	80155	5	1978	4	25.1
USGS	11458000	80155	5	1978	5	1.04
USGS	11458000	80155	5	1978	6	0.190
USGS	11458000	80155	5	1978	7	0.067
USGS	11458000	80155	5	1978	8	0.035
USGS	11458000	80155	5	1978	9	0.029

