#
#
"# US Geological Survey, Water Resources Data"
# retrieved: 2014-02-06 16:21:33 EST      (nadww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
"# For more details on why the statistics may not match, visit http://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer."
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd  Parameter Name                                  dd_nu   Location Name
"# 00060         Discharge, cubic feet per second                2       "
"# 80154         Suspended sediment concentration, milligrams per liter          4       "
"# 80155         Suspended sediment discharge, tons per day              5       "
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd       site_no parameter_cd    dd_nu   month_nu        day_nu  begin_yr        end_yr  count_nu        max_va_yr       max_va  min_va_yr       min_va  mean_va p05_va  p10_va  p20_va  p25_va  p50_va  p75_va  p80_va  p90_va  p95_va
5s      15s     5s      11n     3n      3n      6n      6n      8n      5n      12s     5n      12s     12s     12s     12s     12s     12s     12s     12s     12s     12s     12s
USGS    11458000        00060   2       2       4       1960    2013    54      1996    7550    1977    0.00    516     4.1     20      38      49      204     595     666     965     2270
USGS    11458000        00060   2       2       5       1960    2013    54      1996    5540    1977    0.00    473     4.6     20      34      48      182     579     679     903     1820
USGS    11458000        00060   2       2       6       1960    2013    54      1998    7210    1977    0.00    512     6.2     18      30      60      194     485     581     1330    2130
USGS    11458000        00060   2       2       7       1960    2013    54      1998    8750    1977    0.00    678     7.2     15      47      74      202     473     649     1830    3820
USGS    11458000        00060   2       2       8       1960    2013    54      1960    8300    1977    0.00    775     6.7     12      45      73      208     464     560     2200    5560
USGS    11458000        00060   2       2       9       1960    2013    54      1999    5690    1977    0.00    633     7.1     11      56      77      201     528     788     2260    3250
USGS    11458000        00060   2       2       10      1960    2013    54      1969    2360    1977    0.00    481     6.5     17      61      78      179     477     1050    1710    1980
USGS    11458000        00060   2       2       11      1960    2013    54      1969    2830    1977    0.00    409     8.5     18      67      80      205     467     775     1130    1590
USGS    11458000        00060   2       2       12      1960    2013    54      1983    2720    1977    0.00    471     7.4     27      67      84      239     539     588     1490    2440
USGS    11458000        00060   2       2       13      1960    2013    54      1975    6920    1977    0.00    733     6.7     33      69      111     255     798     1290    2240    3330
USGS    11458000        00060   2       2       14      1960    2013    54      1986    10700   1977    0.00    820     6.2     32      83      107     245     653     1080    2030    4180
USGS    11458000        00060   2       2       15      1960    2013    54      1986    10800   1977    0.00    861     7.9     29      85      118     220     750     938     2090    5710
USGS    11458000        00060   2       2       16      1960    2013    54      1982    9920    1977    0.00    897     9.3     36      92      127     262     910     1050    2330    3900
USGS    11458000        00060   2       2       17      1960    2013    54      1986    26200   1977    0.00    1250    8.4     35      106     126     249     820     1220    2540    5650
USGS    11458000        00060   2       2       18      1960    2013    54      1986    21600   1977    0.00    1160    9.0     34      103     131     280     878     1310    1600    7790
